Nama,Harga,Rating
Informa Rana Rak Buku 10 Kompartemen - Putih,Rp1.999.000,5 
Informa Galvin Rak Buku 4 Tingkat - Putih Oak,Rp1.499.000,5 
Informa Pablo Rak Buku 6 Tingkat - Cokelat Oak,Rp1.499.000,4.6 
Masterspace Rak Buku 5 Tingkat - Hitam,Rp999.900,4.9 
Masterspace Rak Buku 5 Tingkat - Putih,Rp999.900,5 
Informa Abby Rak Buku Anak 2 Tingkat,Rp2.099.000,4.5 
Informa Abby Rak Buku Anak 4 Tingkat,Rp1.799.000,5 
Informa Rana Rak Buku 10 Kompartemen - Cokelat Maple,Rp1.999.000,5 
Informa Pablo Rak Buku 6 Tingkat - Putih,Rp1.499.000,4.7 
Informa Dallas Rak Buku 12 Kompartemen - Cokelat Oak,Rp1.999.000,5 
Informa Pablo Rak Buku 6 Tingkat & Keranjang Penyimpanan - Putih,Rp1.827.000,5 
Informa Dallas Rak Buku 9 Kompartemen - Cokelat Oak,Rp1.599.000,5 
Masterspace Rak Buku 4 Tingkat - Putih,Rp699.900,5 
Stora Rak Penyimpanan 3 Tingkat - Cokelat,Rp219.900,5 
Stora Rak Penyimpanan 4 Tingkat - Cokelat,Rp289.900,5 
Masterspace Rak Buku 4 Tingkat - Hitam,Rp699.900,4.9 
Selma Ciara Rak Penyimpanan 4 Tingkat - Cokelat Oak,Rp199.000,5 
Selma Ciara Rak Penyimpanan 3 Tingkat - Cokelat Oak,Rp199.000,5 
Informa Paulson Rak Buku 5 Tingkat - Putih,Rp899.000,4.9 
Selma Ciara Rak Penyimpanan 3 Tingkat - Putih,Rp199.000,5 
Stora Rak Penyimpanan 5 Tingkat - Putih,Rp319.900,5 
Selma Ciara Rak Penyimpanan 4 Tingkat - Putih,Rp199.000,5 
Stora Rak Penyimpanan 1 Tingkat Stackable,Rp149.900,5 
Selma Ciara Rak Penyimpanan 2 Tingkat - Putih,Rp159.000,5 
Selma Ciara Rak Penyimpanan 2 Tingkat - Cokelat Oak,Rp159.000,5 
Informa Abby Rak Buku Anak 3 Tingkat,Rp2.799.000,4.7 
Informa Milton Rak Buku - Putih,Rp2.599.000,4.9 
Masterspace 60 Cm Rak Stairwell - Oak,Rp999.900,5 
Informa Pablo Rak Buku 3 Tingkat - Putih,Rp599.000,4.9 
Informa Pablo Rak Buku 3 Tingkat L40 - Putih,Rp499.000,5 
Informa Pablo Rak Buku 3 Tingkat L40 - Cokelat Oak,Rp499.000,4.2 
Informa Mac Rak Buku - Cokelat/putih,Rp2.599.000,5 
Informa Naco Rak Buku - Putih,Rp3.699.000,4 
Informa Logan Rak Buku Pintu Kaca - Putih,Rp2.799.000,5 
Informa Pablo Rak Buku 3 Tingkat & Kotak Penyimpanan - Cokelat Oak/putih,Rp637.000,5 
Informa Pablo Rak Buku 3 Tingkat & Kotak Penyimpanan - Cokelat Oak/hijau,Rp637.000,5 
